,Unnamed: 0,id,submitdate,startdate,datestamp,Modyfikator,Grupa,Odpowiedź,Odpowiedzialność,Płeć,Rok urodzenia,Wykształcenie,Wykształcenie inne,Wykształcenie filozoficzne
457,457,478,2015-04-19 19:19:37,2015-04-19 19:18:32,2015-04-19 19:19:37,Chciał,Help,Nie,4.0,Kobieta,1992.0,Wyższe,,Nie
460,460,481,2015-04-19 19:32:26,2015-04-19 19:21:37,2015-04-19 19:32:26,Celowo,Help,Nie,5.0,Mężczyzna,1977.0,Wyższe,,Nie
463,463,484,2015-04-19 19:27:01,2015-04-19 19:25:06,2015-04-19 19:27:01,Świadomie,Help,Tak,5.0,Mężczyzna,1990.0,Wyższe,,Nie
464,464,485,2015-04-19 19:28:18,2015-04-19 19:25:57,2015-04-19 19:28:18,Z rozmysłem,Help,Nie,4.0,Kobieta,1990.0,Wyższe,,Nie
465,465,486,2015-04-19 19:28:09,2015-04-19 19:26:06,2015-04-19 19:28:09,Z rozmysłem,Help,Nie,2.0,Mężczyzna,1990.0,Wyższe,,Nie
467,467,488,2015-04-19 19:30:31,2015-04-19 19:29:18,2015-04-19 19:30:30,Umyślnie,Harm,Tak,1.0,Mężczyzna,24.0,Średnie,,Nie
468,468,489,2015-04-19 19:37:30,2015-04-19 19:29:39,2015-04-19 19:37:30,Specjalnie,Help,Nie,4.0,Mężczyzna,1989.0,Średnie,,Nie
469,469,490,2015-04-19 19:33:22,2015-04-19 19:30:45,2015-04-19 19:33:22,Umyślnie,Harm,Tak,1.0,Kobieta,16.0,Podstawowe,,Nie
470,470,491,2015-04-19 19:33:05,2015-04-19 19:31:26,2015-04-19 19:33:05,Umyślnie,Help,Tak,1.0,Mężczyzna,1989.0,Wyższe,,Tak
471,471,492,2015-04-19 19:32:46,2015-04-19 19:31:28,2015-04-19 19:32:46,Chciał,Help,Nie,3.0,Kobieta,1987.0,Wyższe,,Nie
473,473,494,2015-04-19 19:35:09,2015-04-19 19:32:47,2015-04-19 19:35:09,Z rozmysłem,Help,Nie,2.0,Kobieta,1982.0,Wyższe,,Tak
476,476,497,2015-04-19 19:38:23,2015-04-19 19:34:44,2015-04-19 19:38:23,Specjalnie,Help,Nie,1.0,Kobieta,1997.0,Podstawowe,,Nie
477,477,498,2015-04-19 19:36:42,2015-04-19 19:34:58,2015-04-19 19:36:42,Zamierzał,Harm,Tak,1.0,Mężczyzna,1985.0,Wyższe,,Nie
479,479,500,2015-04-19 19:39:40,2015-04-19 19:37:08,2015-04-19 19:39:40,Zamierzał,Harm,Nie,1.0,Mężczyzna,81179.0,Wyższe,,Nie
480,480,501,2015-04-19 19:39:22,2015-04-19 19:37:50,2015-04-19 19:39:22,Zamierzał,Help,Nie,4.0,Kobieta,1980.0,Wyższe,,Nie
484,484,505,2015-04-19 19:42:09,2015-04-19 19:41:01,2015-04-19 19:42:09,Świadomie,Help,Nie,5.0,Mężczyzna,1988.0,Wyższe,,Nie
485,485,506,2015-04-19 19:43:17,2015-04-19 19:41:25,2015-04-19 19:43:17,Świadomie,Harm,Tak,1.0,Kobieta,1979.0,Wyższe,,Tak
486,486,507,2015-04-19 19:42:55,2015-04-19 19:41:26,2015-04-19 19:42:55,Zamierzał,Harm,Tak,1.0,Kobieta,1987.0,Wyższe,,Nie
488,488,509,2015-04-19 19:47:58,2015-04-19 19:45:29,2015-04-19 19:47:58,Umyślnie,Help,Nie,4.0,Kobieta,1993.0,Wyższe,,Nie
489,489,510,2015-04-19 19:47:32,2015-04-19 19:45:44,2015-04-19 19:47:31,Z rozmysłem,Harm,Tak,1.0,Kobieta,2001.0,Podstawowe,,Nie
490,490,511,2015-04-19 19:48:02,2015-04-19 19:45:47,2015-04-19 19:48:02,Zamierzał,Help,Nie,5.0,Kobieta,1997.0,Podstawowe,,Nie
491,491,512,2015-04-19 19:49:12,2015-04-19 19:46:07,2015-04-19 19:49:12,Świadomie,Harm,Tak,1.0,Kobieta,1992.0,Wyższe,,Nie
494,494,515,2015-04-19 19:48:14,2015-04-19 19:47:17,2015-04-19 19:48:14,Specjalnie,Harm,Tak,1.0,Kobieta,27.0,Wyższe,,Nie
495,495,516,2015-04-19 19:49:44,2015-04-19 19:47:23,2015-04-19 19:49:44,Zamierzał,Harm,Nie,1.0,Mężczyzna,1987.0,Wyższe,,Nie
496,496,517,2015-04-19 19:50:00,2015-04-19 19:48:23,2015-04-19 19:50:00,Świadomie,Help,Tak,2.0,Kobieta,1990.0,Wyższe,,Nie
498,498,519,2015-04-19 20:02:40,2015-04-19 19:49:39,2015-04-19 20:02:40,Zamierzał,Harm,Tak,1.0,Kobieta,1990.0,Wyższe,,Tak
501,501,522,2015-04-19 19:53:50,2015-04-19 19:51:41,2015-04-19 19:53:50,Brak przysłówka,Harm,Tak,1.0,Kobieta,1987.0,Wyższe,,Nie
502,502,523,2015-04-19 19:54:33,2015-04-19 19:52:53,2015-04-19 19:54:33,Zamierzał,Harm,Nie,2.0,Mężczyzna,1988.0,Wyższe,,Nie
503,503,524,2015-04-19 19:55:50,2015-04-19 19:54:24,2015-04-19 19:55:50,Umyślnie,Harm,Tak,1.0,Kobieta,1984.0,Wyższe,,Nie
504,504,525,2015-04-19 19:58:35,2015-04-19 19:56:22,2015-04-19 19:58:34,Z rozmysłem,Help,Nie,2.0,Kobieta,1962.0,Wyższe,,Nie
506,506,527,2015-04-19 20:00:08,2015-04-19 19:58:36,2015-04-19 20:00:08,Brak przysłówka,Harm,Tak,1.0,Kobieta,1983.0,Wyższe,,Nie
508,508,529,2015-04-19 20:00:54,2015-04-19 19:59:16,2015-04-19 20:00:54,Zamierzał,Harm,Nie,2.0,Mężczyzna,1992.0,Wyższe,,Tak
509,509,530,2015-04-19 20:00:43,2015-04-19 19:59:33,2015-04-19 20:00:43,Z rozmysłem,Harm,Tak,1.0,Mężczyzna,1987.0,Wyższe,,Nie
511,511,532,2015-04-19 20:02:33,2015-04-19 20:01:20,2015-04-19 20:02:33,Umyślnie,Harm,Nie,1.0,Kobieta,1992.0,Średnie,,Nie
512,512,533,2015-04-19 20:02:45,2015-04-19 20:01:37,2015-04-19 20:02:45,Chciał,Harm,Tak,1.0,Kobieta,1991.0,Wyższe,,Nie
513,513,534,2015-04-19 20:05:04,2015-04-19 20:03:03,2015-04-19 20:05:04,Specjalnie,Harm,Nie,1.0,Kobieta,1998.0,Średnie,,Nie
515,515,536,2015-04-19 20:08:09,2015-04-19 20:06:49,2015-04-19 20:08:09,Specjalnie,Help,Nie,2.0,Kobieta,1985.0,Wyższe,,Nie
516,516,537,2015-04-19 20:40:07,2015-04-19 20:07:07,2015-04-19 20:40:07,Umyślnie,Harm,Tak,1.0,Mężczyzna,25.0,Wyższe,,Tak
517,517,538,2015-04-19 20:09:00,2015-04-19 20:07:31,2015-04-19 20:09:00,Brak przysłówka,Harm,Tak,1.0,Mężczyzna,1958.0,-oth-,MBA,Nie
519,519,540,2015-04-19 20:13:12,2015-04-19 20:10:07,2015-04-19 20:13:12,Celowo,Harm,Nie,3.0,Kobieta,1984.0,Wyższe,,Nie
521,521,542,2015-04-19 20:13:04,2015-04-19 20:11:27,2015-04-19 20:13:04,Celowo,Harm,Tak,1.0,Mężczyzna,1987.0,Wyższe,,Nie
522,522,543,2015-04-19 20:14:58,2015-04-19 20:11:45,2015-04-19 20:14:58,Brak przysłówka,Help,Nie,4.0,Kobieta,1989.0,Wyższe,,Nie
524,524,545,2015-04-19 20:13:47,2015-04-19 20:12:42,2015-04-19 20:13:47,Umyślnie,Harm,Tak,1.0,Kobieta,1991.0,Wyższe,,Tak
525,525,546,2015-04-19 20:14:24,2015-04-19 20:12:50,2015-04-19 20:14:24,Zamierzał,Harm,Tak,1.0,Kobieta,1982.0,Wyższe,,Nie
526,526,547,2015-04-19 20:19:37,2015-04-19 20:17:56,2015-04-19 20:19:36,Celowo,Help,Nie,4.0,Kobieta,1984.0,Wyższe,,Nie
527,527,548,2015-04-19 20:20:38,2015-04-19 20:18:53,2015-04-19 20:20:38,Zamierzał,Harm,Tak,1.0,Kobieta,1984.0,Wyższe,,Nie
531,531,552,2015-04-19 20:24:28,2015-04-19 20:22:37,2015-04-19 20:24:28,Specjalnie,Help,Nie,3.0,Kobieta,1982.0,Wyższe,,Nie
532,532,553,2015-04-19 20:28:16,2015-04-19 20:26:20,2015-04-19 20:28:16,Specjalnie,Help,Nie,3.0,Kobieta,1987.0,Wyższe,,Nie
533,533,554,2015-04-19 20:28:30,2015-04-19 20:26:39,2015-04-19 20:28:29,Świadomie,Harm,Tak,2.0,Kobieta,1992.0,Wyższe,,Nie
534,534,555,2015-04-19 20:28:38,2015-04-19 20:27:30,2015-04-19 20:28:38,Zamierzał,Help,Tak,3.0,Kobieta,1984.0,Wyższe,,Nie
535,535,556,2015-04-19 20:31:13,2015-04-19 20:29:44,2015-04-19 20:31:13,Brak przysłówka,Help,Nie,5.0,Mężczyzna,1987.0,Wyższe,,Nie
536,536,557,2015-04-19 20:31:51,2015-04-19 20:29:48,2015-04-19 20:31:51,Świadomie,Harm,Tak,1.0,Kobieta,1956.0,Wyższe,,Nie
537,537,558,2015-04-19 20:32:58,2015-04-19 20:30:09,2015-04-19 20:32:58,Chciał,Harm,Nie,1.0,Kobieta,1991.0,Wyższe,,Nie
538,538,559,2015-04-19 20:31:37,2015-04-19 20:30:12,2015-04-19 20:31:37,Brak przysłówka,Harm,Tak,1.0,Kobieta,1990.0,Wyższe,,Nie
539,539,560,2015-04-19 20:32:24,2015-04-19 20:30:54,2015-04-19 20:32:24,Chciał,Help,Nie,4.0,Kobieta,1991.0,Wyższe,,Nie
541,541,562,2015-04-19 20:36:03,2015-04-19 20:33:14,2015-04-19 20:36:03,Umyślnie,Harm,Tak,2.0,Kobieta,1962.0,Wyższe,,Nie
543,543,564,2015-04-19 20:36:55,2015-04-19 20:35:26,2015-04-19 20:36:55,Umyślnie,Harm,Tak,1.0,Mężczyzna,1988.0,Wyższe,,Nie
544,544,565,2015-04-19 20:38:04,2015-04-19 20:36:30,2015-04-19 20:38:04,Brak przysłówka,Harm,Tak,1.0,Mężczyzna,1988.0,Wyższe,,Tak
545,545,566,2015-04-19 20:40:28,2015-04-19 20:36:55,2015-04-19 20:40:28,Zamierzał,Help,Tak,5.0,Mężczyzna,1990.0,Wyższe,,Tak
546,546,567,2015-04-19 20:38:42,2015-04-19 20:37:21,2015-04-19 20:38:42,Umyślnie,Help,Nie,3.0,Kobieta,1989.0,Wyższe,,Tak
547,547,568,2015-04-19 20:41:31,2015-04-19 20:37:50,2015-04-19 20:41:31,Celowo,Harm,Nie,1.0,Mężczyzna,1993.0,Średnie,,Nie
548,548,569,2015-04-19 20:53:30,2015-04-19 20:39:15,2015-04-19 20:53:30,Zamierzał,Help,Nie,2.0,Kobieta,1986.0,Wyższe,,Nie
549,549,570,2015-04-19 20:40:49,2015-04-19 20:39:22,2015-04-19 20:40:49,Celowo,Harm,Nie,3.0,Kobieta,1960.0,Wyższe,,Nie
551,551,572,2015-04-19 20:42:41,2015-04-19 20:40:54,2015-04-19 20:42:41,Chciał,Harm,Nie,1.0,Kobieta,27.0,Wyższe,,Nie
552,552,573,2015-04-19 20:43:27,2015-04-19 20:41:36,2015-04-19 20:43:27,Brak przysłówka,Harm,Tak,1.0,Mężczyzna,1984.0,Wyższe,,Nie
553,553,574,2015-04-19 20:42:59,2015-04-19 20:41:56,2015-04-19 20:42:59,Świadomie,Help,Tak,5.0,Kobieta,24.0,Wyższe,,Nie
554,554,575,2015-04-19 20:44:03,2015-04-19 20:42:23,2015-04-19 20:44:03,Zamierzał,Harm,Tak,1.0,Kobieta,1992.0,Wyższe,,Nie
555,555,576,2015-04-19 20:44:27,2015-04-19 20:42:42,2015-04-19 20:44:27,Specjalnie,Harm,Nie,1.0,Mężczyzna,1964.0,Wyższe,,Nie
557,557,578,2015-04-19 20:48:17,2015-04-19 20:47:16,2015-04-19 20:48:17,Zamierzał,Help,Nie,4.0,Kobieta,1986.0,Doktorat,,Nie
560,560,581,2015-04-19 20:50:32,2015-04-19 20:48:37,2015-04-19 20:50:32,Specjalnie,Harm,Tak,1.0,Kobieta,1990.0,Wyższe,,Nie
561,561,582,2015-04-19 20:50:58,2015-04-19 20:49:09,2015-04-19 20:50:58,Zamierzał,Help,Nie,2.0,Kobieta,1991.0,Średnie,,Nie
562,562,583,2015-04-19 20:53:41,2015-04-19 20:50:38,2015-04-19 20:53:41,Umyślnie,Harm,Tak,1.0,Kobieta,1988.0,Wyższe,,Nie
563,563,584,2015-04-19 20:53:49,2015-04-19 20:51:01,2015-04-19 20:53:49,Specjalnie,Help,Nie,4.0,Mężczyzna,1986.0,Wyższe,,Nie
564,564,585,2015-04-19 20:52:25,2015-04-19 20:51:10,2015-04-19 20:52:25,Brak przysłówka,Harm,Tak,2.0,Kobieta,1985.0,Wyższe,,Nie
565,565,586,2015-04-19 20:53:10,2015-04-19 20:51:46,2015-04-19 20:53:10,Chciał,Help,Nie,4.0,Kobieta,24.0,Wyższe,,Nie
566,566,587,2015-04-19 20:58:03,2015-04-19 20:55:46,2015-04-19 20:58:03,Celowo,Help,Nie,4.0,Kobieta,1992.0,Wyższe,,Nie
567,567,588,2015-04-19 21:02:09,2015-04-19 20:59:27,2015-04-19 21:02:09,Umyślnie,Harm,Tak,1.0,Kobieta,20.0,Średnie,,Nie
568,568,589,2015-04-19 21:02:03,2015-04-19 20:59:43,2015-04-19 21:02:03,Umyślnie,Harm,Tak,1.0,Kobieta,24.0,-oth-,Dyplom kulinarny,Nie
572,572,593,2015-04-19 21:05:43,2015-04-19 21:04:26,2015-04-19 21:05:43,Z rozmysłem,Harm,Tak,1.0,Kobieta,1986.0,Wyższe,,Nie
573,573,594,2015-04-19 21:07:21,2015-04-19 21:06:13,2015-04-19 21:07:21,Celowo,Help,Nie,3.0,Mężczyzna,1983.0,Średnie,,Nie
574,574,595,2015-04-19 21:14:08,2015-04-19 21:11:49,2015-04-19 21:14:08,Umyślnie,Harm,Tak,1.0,Kobieta,1967.0,-oth-,radca prawny,Nie
575,575,596,2015-04-19 21:15:20,2015-04-19 21:13:31,2015-04-19 21:15:20,Brak przysłówka,Help,Nie,4.0,Kobieta,1989.0,Wyższe,,Nie
577,577,598,2015-04-19 21:15:44,2015-04-19 21:13:41,2015-04-19 21:15:44,Zamierzał,Help,Nie,5.0,Kobieta,1990.0,Wyższe,,Nie
578,578,599,2015-04-19 21:15:06,2015-04-19 21:14:06,2015-04-19 21:15:06,Świadomie,Harm,Tak,1.0,Mężczyzna,1990.0,Średnie,,Nie
579,579,600,2015-04-19 21:15:42,2015-04-19 21:14:17,2015-04-19 21:15:41,Brak przysłówka,Harm,Tak,1.0,Mężczyzna,1989.0,Wyższe,,Nie
580,580,601,2015-04-19 21:15:48,2015-04-19 21:14:56,2015-04-19 21:15:48,Celowo,Harm,Tak,1.0,Kobieta,1990.0,Wyższe,,Nie
582,582,603,2015-04-19 21:18:26,2015-04-19 21:17:15,2015-04-19 21:18:26,Świadomie,Help,Tak,1.0,Kobieta,1990.0,Wyższe,,Nie
583,583,604,2015-04-19 21:20:09,2015-04-19 21:18:09,2015-04-19 21:20:09,Celowo,Harm,Nie,1.0,Kobieta,1992.0,Wyższe,,Nie
585,585,606,2015-04-19 21:20:30,2015-04-19 21:18:58,2015-04-19 21:20:30,Umyślnie,Harm,Tak,1.0,Kobieta,1990.0,Średnie,,Nie
587,587,608,2015-04-19 21:22:45,2015-04-19 21:20:20,2015-04-19 21:22:45,Brak przysłówka,Help,Tak,2.0,Kobieta,1991.0,Wyższe,,Nie
588,588,609,2015-04-19 21:22:28,2015-04-19 21:20:51,2015-04-19 21:22:28,Zamierzał,Help,Nie,5.0,Kobieta,1988.0,Średnie,,Nie
590,590,611,2015-04-19 21:25:36,2015-04-19 21:23:20,2015-04-19 21:25:36,Chciał,Harm,Nie,1.0,Kobieta,1993.0,Średnie,,Nie
591,591,612,2015-04-19 21:25:45,2015-04-19 21:24:24,2015-04-19 21:25:45,Zamierzał,Harm,Nie,2.0,Mężczyzna,1993.0,Średnie,,Nie
592,592,613,2015-04-19 21:26:00,2015-04-19 21:24:39,2015-04-19 21:26:00,Świadomie,Help,Tak,3.0,Mężczyzna,1983.0,Wyższe,,Tak
594,594,615,2015-04-19 21:29:25,2015-04-19 21:27:46,2015-04-19 21:29:25,Zamierzał,Harm,Tak,1.0,Kobieta,1987.0,Wyższe,,Tak
595,595,616,2015-04-19 21:33:12,2015-04-19 21:31:56,2015-04-19 21:33:12,Brak przysłówka,Help,Tak,5.0,Mężczyzna,1989.0,Wyższe,,Nie
596,596,617,2015-04-19 21:35:21,2015-04-19 21:33:32,2015-04-19 21:35:21,Specjalnie,Help,Nie,5.0,Kobieta,1980.0,Habilitacja Plus,,Tak
598,598,619,2015-04-19 21:37:50,2015-04-19 21:35:04,2015-04-19 21:37:50,Brak przysłówka,Help,Nie,5.0,Mężczyzna,1991.0,Wyższe,,Tak
599,599,620,2015-04-19 21:38:39,2015-04-19 21:37:18,2015-04-19 21:38:39,Celowo,Harm,Tak,1.0,Mężczyzna,1995.0,Średnie,,Nie
600,600,621,2015-04-19 21:40:20,2015-04-19 21:38:38,2015-04-19 21:40:20,Specjalnie,Harm,Nie,1.0,Kobieta,1992.0,Wyższe,,Nie
602,602,623,2015-04-19 21:46:46,2015-04-19 21:45:11,2015-04-19 21:46:46,Zamierzał,Help,Nie,3.0,Kobieta,38.0,Wyższe,,Nie
603,603,624,2015-04-19 21:49:09,2015-04-19 21:45:45,2015-04-19 21:49:09,Umyślnie,Help,Tak,5.0,Kobieta,1990.0,Wyższe,,Nie
604,604,625,2015-04-19 21:47:54,2015-04-19 21:46:12,2015-04-19 21:47:54,Zamierzał,Harm,Nie,1.0,Mężczyzna,1990.0,Wyższe,,Nie
605,605,626,2015-04-19 21:54:58,2015-04-19 21:46:38,2015-04-19 21:54:58,Świadomie,Help,Tak,4.0,Kobieta,1982.0,Wyższe,,Nie
607,607,628,2015-04-19 21:49:11,2015-04-19 21:47:48,2015-04-19 21:49:11,Chciał,Help,Nie,5.0,Kobieta,1980.0,Wyższe,,Nie
608,608,629,2015-04-19 21:51:14,2015-04-19 21:49:29,2015-04-19 21:51:14,Umyślnie,Help,Nie,3.0,Kobieta,1987.0,Wyższe,,Nie
609,609,630,2015-04-19 21:50:49,2015-04-19 21:49:39,2015-04-19 21:50:49,Celowo,Help,Nie,5.0,Kobieta,1985.0,Wyższe,,Nie
610,610,631,2015-04-19 21:52:31,2015-04-19 21:50:52,2015-04-19 21:52:31,Chciał,Harm,Nie,1.0,Mężczyzna,1964.0,Wyższe,,Nie
611,611,632,2015-04-19 21:53:06,2015-04-19 21:51:24,2015-04-19 21:53:06,Brak przysłówka,Harm,Tak,1.0,Mężczyzna,1992.0,Wyższe,,Nie
612,612,633,2015-04-19 21:53:02,2015-04-19 21:51:30,2015-04-19 21:53:02,Świadomie,Harm,Tak,1.0,Kobieta,1992.0,Wyższe,,Nie
613,613,634,2015-04-19 21:53:47,2015-04-19 21:52:19,2015-04-19 21:53:47,Celowo,Harm,Tak,1.0,Kobieta,1993.0,Średnie,,Nie
614,614,635,2015-04-19 21:54:52,2015-04-19 21:52:31,2015-04-19 21:54:52,Brak przysłówka,Harm,Tak,1.0,Mężczyzna,1978.0,Wyższe,,Nie
615,615,638,2015-04-19 21:55:12,2015-04-19 21:53:53,2015-04-19 21:55:12,Celowo,Help,Nie,5.0,Kobieta,1991.0,Wyższe,,Nie
616,616,637,2015-04-19 21:54:29,2015-04-19 21:53:05,2015-04-19 21:54:29,Świadomie,Help,Tak,1.0,Mężczyzna,1991.0,Średnie,,Tak
618,618,640,2015-04-19 21:55:48,2015-04-19 21:54:25,2015-04-19 21:55:48,Świadomie,Help,Nie,4.0,Kobieta,1987.0,Wyższe,,Nie
619,619,641,2015-04-19 21:57:28,2015-04-19 21:55:17,2015-04-19 21:57:28,Zamierzał,Help,Nie,3.0,Kobieta,1985.0,Wyższe,,Nie
621,621,643,2015-04-19 22:00:34,2015-04-19 21:57:33,2015-04-19 22:00:34,Specjalnie,Harm,Tak,2.0,Kobieta,1975.0,Średnie,,Nie
622,622,644,2015-04-19 21:58:50,2015-04-19 21:57:38,2015-04-19 21:58:50,Z rozmysłem,Harm,Tak,2.0,Kobieta,1989.0,Wyższe,,Nie
623,623,645,2015-04-19 22:00:12,2015-04-19 21:58:22,2015-04-19 22:00:12,Zamierzał,Harm,Nie,1.0,Kobieta,1990.0,Wyższe,,Nie
624,624,646,2015-04-19 22:01:43,2015-04-19 21:59:53,2015-04-19 22:01:43,Specjalnie,Help,Nie,5.0,Kobieta,1988.0,Wyższe,,Nie
625,625,647,2015-04-19 22:03:13,2015-04-19 21:59:58,2015-04-19 22:03:13,Chciał,Harm,Nie,1.0,Mężczyzna,1974.0,Średnie,,Nie
626,626,648,2015-04-19 22:02:32,2015-04-19 22:00:22,2015-04-19 22:02:32,Brak przysłówka,Harm,Tak,1.0,Kobieta,1986.0,Wyższe,,Nie
627,627,649,2015-04-19 22:02:06,2015-04-19 22:00:28,2015-04-19 22:02:06,Z rozmysłem,Help,Nie,3.0,Kobieta,1983.0,Wyższe,,Nie
629,629,651,2015-04-19 22:04:18,2015-04-19 22:02:55,2015-04-19 22:04:18,Chciał,Harm,Tak,1.0,Mężczyzna,1976.0,Wyższe,,Nie
630,630,652,2015-04-19 22:03:49,2015-04-19 22:02:56,2015-04-19 22:03:49,Umyślnie,Harm,Tak,1.0,Kobieta,1972.0,Wyższe,,Nie
631,631,653,2015-04-19 22:05:36,2015-04-19 22:03:55,2015-04-19 22:05:36,Umyślnie,Help,Nie,1.0,Kobieta,1980.0,Wyższe,,Nie
632,632,654,2015-04-19 22:05:19,2015-04-19 22:04:04,2015-04-19 22:05:19,Celowo,Help,Nie,4.0,Kobieta,1987.0,Wyższe,,Nie
633,633,655,2015-04-19 22:16:17,2015-04-19 22:06:30,2015-04-19 22:16:17,Chciał,Harm,Tak,1.0,Mężczyzna,1972.0,Wyższe,,Nie
636,636,658,2015-04-19 22:09:44,2015-04-19 22:07:34,2015-04-19 22:09:44,Świadomie,Harm,Tak,1.0,Mężczyzna,1960.0,Średnie,,Nie
637,637,659,2015-04-19 22:10:05,2015-04-19 22:07:37,2015-04-19 22:10:05,Chciał,Help,Nie,5.0,Kobieta,1976.0,Wyższe,,Nie
639,639,661,2015-04-19 22:09:48,2015-04-19 22:08:16,2015-04-19 22:09:48,Umyślnie,Harm,Tak,1.0,Kobieta,1981.0,Wyższe,,Tak
640,640,662,2015-04-19 22:10:12,2015-04-19 22:08:17,2015-04-19 22:10:12,Celowo,Harm,Tak,1.0,Kobieta,1990.0,-oth-,studentka,Nie
641,641,663,2015-04-19 22:10:24,2015-04-19 22:08:18,2015-04-19 22:10:24,Świadomie,Help,Nie,5.0,Mężczyzna,1969.0,Wyższe,,Nie
642,642,664,2015-04-19 22:09:33,2015-04-19 22:08:26,2015-04-19 22:09:33,Chciał,Help,Nie,3.0,Kobieta,1985.0,Wyższe,,Nie
643,643,665,2015-04-19 22:09:59,2015-04-19 22:08:27,2015-04-19 22:09:59,Specjalnie,Harm,Tak,1.0,Kobieta,1980.0,Wyższe,,Nie
644,644,666,2015-04-19 22:10:39,2015-04-19 22:08:46,2015-04-19 22:10:39,Specjalnie,Help,Nie,4.0,Kobieta,1977.0,Wyższe,,Nie
646,646,668,2015-04-19 22:15:48,2015-04-19 22:09:19,2015-04-19 22:15:48,Świadomie,Help,Nie,1.0,Kobieta,1988.0,Wyższe,,Nie
647,647,669,2015-04-19 22:10:45,2015-04-19 22:09:53,2015-04-19 22:10:45,Umyślnie,Help,Nie,5.0,Mężczyzna,1979.0,Średnie,,Nie
650,650,672,2015-04-19 22:12:12,2015-04-19 22:11:03,2015-04-19 22:12:12,Brak przysłówka,Harm,Tak,1.0,Kobieta,1970.0,Wyższe,,Nie
651,651,673,2015-04-19 22:14:34,2015-04-19 22:11:10,2015-04-19 22:14:34,Z rozmysłem,Help,Nie,5.0,Kobieta,1989.0,Wyższe,,Nie
652,652,674,2015-04-19 22:13:45,2015-04-19 22:11:38,2015-04-19 22:13:45,Celowo,Help,Nie,5.0,Kobieta,1972.0,Wyższe,,Nie
653,653,675,2015-04-19 22:15:11,2015-04-19 22:12:35,2015-04-19 22:15:11,Zamierzał,Help,Nie,5.0,Kobieta,1970.0,Wyższe,,Nie
654,654,676,2015-04-19 22:13:37,2015-04-19 22:12:37,2015-04-19 22:13:37,Brak przysłówka,Harm,Tak,1.0,Kobieta,1992.0,Wyższe,,Nie
656,656,678,2015-04-19 22:15:06,2015-04-19 22:13:03,2015-04-19 22:15:06,Świadomie,Harm,Tak,1.0,Kobieta,1991.0,Wyższe,,Nie
658,658,680,2015-04-19 22:15:00,2015-04-19 22:13:15,2015-04-19 22:15:00,Chciał,Harm,Nie,1.0,Mężczyzna,1968.0,Średnie,,Nie
659,659,681,2015-04-19 22:14:12,2015-04-19 22:13:16,2015-04-19 22:14:12,Zamierzał,Harm,Tak,1.0,Mężczyzna,25.0,Wyższe,,Tak
661,661,683,2015-04-19 22:15:19,2015-04-19 22:13:42,2015-04-19 22:15:19,Z rozmysłem,Harm,Tak,1.0,Kobieta,1977.0,Wyższe,,Nie
662,662,684,2015-04-20 00:23:04,2015-04-19 22:13:59,2015-04-20 00:23:04,Chciał,Harm,Tak,1.0,Mężczyzna,33.0,Wyższe,,Nie
663,663,685,2015-04-19 22:15:37,2015-04-19 22:14:23,2015-04-19 22:15:37,Specjalnie,Help,Nie,5.0,Kobieta,1981.0,Wyższe,,Nie
664,664,686,2015-04-19 22:15:26,2015-04-19 22:14:23,2015-04-19 22:15:26,Świadomie,Harm,Tak,1.0,Kobieta,1984.0,Wyższe,,Nie
665,665,687,2015-04-19 22:31:19,2015-04-19 22:15:35,2015-04-19 22:31:19,Umyślnie,Harm,Tak,1.0,Kobieta,1989.0,Wyższe,,Nie
666,666,688,2015-04-19 22:16:44,2015-04-19 22:15:49,2015-04-19 22:16:44,Brak przysłówka,Help,Tak,5.0,Kobieta,1970.0,Wyższe,,Nie
667,667,689,2015-04-19 22:18:45,2015-04-19 22:16:06,2015-04-19 22:18:45,Z rozmysłem,Help,Tak,2.0,Kobieta,1982.0,Wyższe,,Nie
668,668,690,2015-04-19 22:17:44,2015-04-19 22:16:23,2015-04-19 22:17:44,Umyślnie,Help,Nie,3.0,Kobieta,1980.0,Wyższe,,Nie
670,670,692,2015-04-19 22:18:07,2015-04-19 22:16:45,2015-04-19 22:18:07,Z rozmysłem,Help,Nie,2.0,Kobieta,1989.0,Wyższe,,Nie
674,674,696,2015-04-19 22:19:46,2015-04-19 22:18:44,2015-04-19 22:19:46,Umyślnie,Harm,Tak,1.0,Kobieta,1980.0,Wyższe,,Nie
675,675,697,2015-04-20 05:52:23,2015-04-19 22:19:17,2015-04-20 05:52:22,Z rozmysłem,Harm,Tak,1.0,Mężczyzna,1976.0,Wyższe,,Nie
676,676,698,2015-04-19 22:21:26,2015-04-19 22:19:47,2015-04-19 22:21:26,Z rozmysłem,Harm,Tak,1.0,Mężczyzna,1986.0,Wyższe,,Nie
677,677,699,2015-04-19 22:22:25,2015-04-19 22:19:50,2015-04-19 22:22:25,Chciał,Help,Nie,1.0,Kobieta,1961.0,Wyższe,,Nie
678,678,700,2015-04-19 22:24:36,2015-04-19 22:20:57,2015-04-19 22:24:36,Celowo,Harm,Tak,1.0,Mężczyzna,1982.0,Średnie,,Nie
679,679,701,2015-04-19 22:22:11,2015-04-19 22:21:03,2015-04-19 22:22:11,Brak przysłówka,Help,Tak,2.0,Mężczyzna,1994.0,Średnie,,Nie
